algorithm,dataset,vectorizer,accuracy,precision,recall,f1,custom_accuracy,covid_accuracy,train_time,predict_time
Gaussain_NB,pre_processed,CountVectorizer_1024,0.9449,0.9549,0.9347,0.9447,0.5714,0.5,0.1,0.05
Gaussain_NB,pre_processed,CountVectorizer_256,0.9319,0.932,0.9328,0.9324,0.5714,0.5,0.03,0.01
Gaussain_NB,pre_processed,CountVectorizer_4096,0.9181,0.9426,0.8914,0.9163,0.6429,0.5333,0.36,0.2
Gaussain_NB,pre_processed,TfidfVectorizer_norm_4096,0.8542,0.8621,0.8454,0.8537,0.7857,0.7,0.33,0.2
Gaussain_NB,pre_processed,TfidfVectorizer_idf_4096,0.8495,0.8495,0.8519,0.8507,0.8571,0.7,0.33,0.2
Gaussain_NB,pre_processed,TfidfVectorizer_norm_1024,0.8477,0.8738,0.8151,0.8434,0.7143,0.6667,0.09,0.05
Gaussain_NB,pre_processed,TfidfVectorizer_idf_1024,0.8477,0.8665,0.8243,0.8449,0.7143,0.6667,0.09,0.05
Gaussain_NB,pre_processed,TfidfVectorizer_idf_256,0.8185,0.8579,0.7663,0.8095,0.7857,0.6333,0.03,0.01
Gaussain_NB,pre_processed,TfidfVectorizer_norm_256,0.8125,0.8612,0.7479,0.8006,0.7857,0.6667,0.03,0.01
GradientBoost,pre_processed,CountVectorizer_256,0.9532,0.9556,0.9512,0.9534,0.5714,0.5667,4.93,0.01
GradientBoost,pre_processed,CountVectorizer_4096,0.9519,0.9564,0.9476,0.9519,0.5714,0.5667,95.78,0.04
GradientBoost,pre_processed,TfidfVectorizer_norm_1024,0.9514,0.953,0.9503,0.9516,0.5714,0.5333,38.49,0.02
GradientBoost,pre_processed,CountVectorizer_1024,0.9509,0.9529,0.9494,0.9512,0.5714,0.5333,22.69,0.02
GradientBoost,pre_processed,TfidfVectorizer_norm_256,0.9495,0.9511,0.9485,0.9498,0.5714,0.6,12.13,0.01
GradientBoost,pre_processed,TfidfVectorizer_idf_1024,0.9486,0.9494,0.9485,0.9489,0.5714,0.5667,39.93,0.02
GradientBoost,pre_processed,TfidfVectorizer_norm_4096,0.9481,0.9535,0.943,0.9482,0.5,0.5667,118.29,0.04
GradientBoost,pre_processed,TfidfVectorizer_idf_4096,0.9477,0.9484,0.9476,0.948,0.5,0.5667,119.52,0.04
GradientBoost,pre_processed,TfidfVectorizer_idf_256,0.9458,0.9458,0.9466,0.9462,0.5714,0.6,13.95,0.01
KNN,pre_processed,CountVectorizer_256,0.8269,0.7471,0.9917,0.8522,0.5,0.5,0.01,0.34
KNN,pre_processed,TfidfVectorizer_idf_256,0.819,0.8991,0.7213,0.8004,0.5,0.5667,0.01,0.21
KNN,pre_processed,TfidfVectorizer_norm_256,0.8069,0.9295,0.667,0.7766,0.3571,0.6333,0.01,0.37
KNN,pre_processed,TfidfVectorizer_idf_1024,0.7597,0.9104,0.5796,0.7083,0.7857,0.5,0.01,0.41
KNN,pre_processed,CountVectorizer_1024,0.7491,0.6677,0.9982,0.8001,0.5,0.5,0.0,0.52
KNN,pre_processed,TfidfVectorizer_norm_1024,0.7343,0.9415,0.5032,0.6559,0.6429,0.4667,0.01,0.39
KNN,pre_processed,TfidfVectorizer_idf_4096,0.7282,0.8846,0.529,0.6621,0.6429,0.6333,0.05,1.07
KNN,pre_processed,CountVectorizer_4096,0.7019,0.6281,0.9991,0.7713,0.5,0.5,0.01,1.26
KNN,pre_processed,TfidfVectorizer_norm_4096,0.688,0.9311,0.4103,0.5696,0.7143,0.5667,0.04,1.08
LGBM,pre_processed,CountVectorizer_1024,0.9569,0.9654,0.9485,0.9568,0.6429,0.5,0.69,0.02
LGBM,pre_processed,CountVectorizer_4096,0.9551,0.9644,0.9457,0.9549,0.5,0.5,1.69,0.06
LGBM,pre_processed,TfidfVectorizer_idf_4096,0.9546,0.9652,0.9439,0.9544,0.5,0.5667,6.65,0.04
LGBM,pre_processed,TfidfVectorizer_idf_1024,0.9537,0.9678,0.9393,0.9533,0.5714,0.5667,3.06,0.01
LGBM,pre_processed,TfidfVectorizer_norm_1024,0.9523,0.9668,0.9374,0.9519,0.6429,0.5667,3.01,0.01
LGBM,pre_processed,TfidfVectorizer_norm_4096,0.9523,0.9624,0.942,0.9521,0.5714,0.5667,6.87,0.04
LGBM,pre_processed,CountVectorizer_256,0.9509,0.9588,0.943,0.9508,0.5714,0.5667,0.31,0.01
LGBM,pre_processed,TfidfVectorizer_idf_256,0.9509,0.9632,0.9384,0.9506,0.5714,0.5667,1.13,0.01
LGBM,pre_processed,TfidfVectorizer_norm_256,0.9463,0.9585,0.9338,0.9459,0.6429,0.5667,1.08,0.01
MLP,pre_processed,CountVectorizer_256,0.9565,0.9518,0.9623,0.957,0.5714,0.6,4.16,0.0
MLP,pre_processed,TfidfVectorizer_norm_4096,0.9556,0.9679,0.943,0.9553,0.6429,0.7333,43.32,0.04
MLP,pre_processed,TfidfVectorizer_idf_4096,0.9537,0.9643,0.943,0.9535,0.6429,0.7333,42.74,0.04
MLP,pre_processed,CountVectorizer_1024,0.9486,0.9388,0.9604,0.9495,0.6429,0.5667,6.19,0.02
MLP,pre_processed,CountVectorizer_4096,0.9458,0.9377,0.9558,0.9467,0.5714,0.7,27.5,0.05
MLP,pre_processed,TfidfVectorizer_norm_256,0.9389,0.945,0.9328,0.9389,0.6429,0.6667,12.4,0.0
MLP,pre_processed,TfidfVectorizer_norm_1024,0.9384,0.9526,0.9236,0.9379,0.7143,0.7,12.93,0.01
MLP,pre_processed,TfidfVectorizer_idf_1024,0.9343,0.9504,0.9172,0.9335,0.6429,0.6333,12.71,0.01
MLP,pre_processed,TfidfVectorizer_idf_256,0.9329,0.9394,0.9264,0.9328,0.5714,0.6,13.21,0.0
Multinomial_NB,pre_processed,CountVectorizer_4096,0.8866,0.9244,0.8436,0.8822,0.8571,0.6667,0.44,0.04
Multinomial_NB,pre_processed,TfidfVectorizer_idf_4096,0.8759,0.9427,0.8022,0.8668,0.7857,0.6333,0.07,0.02
Multinomial_NB,pre_processed,TfidfVectorizer_norm_1024,0.8755,0.9191,0.8252,0.8696,0.7857,0.7333,0.02,0.01
Multinomial_NB,pre_processed,CountVectorizer_1024,0.875,0.9106,0.8335,0.8703,0.7143,0.6667,0.1,0.01
Multinomial_NB,pre_processed,TfidfVectorizer_idf_1024,0.8741,0.912,0.8298,0.869,0.7143,0.7,0.03,0.01
Multinomial_NB,pre_processed,TfidfVectorizer_norm_4096,0.8736,0.9583,0.7829,0.8618,0.7143,0.6667,0.07,0.02
Multinomial_NB,pre_processed,TfidfVectorizer_norm_256,0.8532,0.8953,0.8022,0.8462,0.9286,0.5667,0.01,0.0
Multinomial_NB,pre_processed,CountVectorizer_256,0.8519,0.8862,0.8096,0.8462,0.7143,0.5667,0.03,0.0
Multinomial_NB,pre_processed,TfidfVectorizer_idf_256,0.8449,0.8783,0.8031,0.839,0.7143,0.5333,0.01,0.0
Random_Forest_Classifier,pre_processed,TfidfVectorizer_idf_4096,0.9611,0.9631,0.9595,0.9613,0.5,0.5,7.25,0.11
Random_Forest_Classifier,pre_processed,CountVectorizer_4096,0.9593,0.9529,0.9669,0.9598,0.5,0.5,6.86,0.12
Random_Forest_Classifier,pre_processed,TfidfVectorizer_norm_4096,0.9593,0.9587,0.9604,0.9596,0.5,0.5,7.05,0.11
Random_Forest_Classifier,pre_processed,CountVectorizer_1024,0.9588,0.9603,0.9577,0.959,0.5,0.5,2.68,0.07
Random_Forest_Classifier,pre_processed,TfidfVectorizer_norm_1024,0.9565,0.9645,0.9485,0.9564,0.5,0.5,3.71,0.08
Random_Forest_Classifier,pre_processed,TfidfVectorizer_idf_1024,0.956,0.9644,0.9476,0.9559,0.5,0.5333,3.63,0.07
Random_Forest_Classifier,pre_processed,CountVectorizer_256,0.9509,0.9521,0.9503,0.9512,0.5,0.5,1.16,0.05
Random_Forest_Classifier,pre_processed,TfidfVectorizer_idf_256,0.9481,0.9569,0.9393,0.948,0.5714,0.5333,2.26,0.05
Random_Forest_Classifier,pre_processed,TfidfVectorizer_norm_256,0.9463,0.9576,0.9347,0.946,0.5714,0.5333,2.15,0.05
SVC,pre_processed,CountVectorizer_4096,0.9606,0.9605,0.9614,0.9609,0.5714,0.5,12.35,11.74
SVC,pre_processed,TfidfVectorizer_norm_4096,0.9579,0.9544,0.9623,0.9583,0.5,0.5667,27.26,31.02
SVC,pre_processed,TfidfVectorizer_idf_4096,0.9579,0.9527,0.9641,0.9584,0.5,0.5333,34.42,39.8
SVC,pre_processed,TfidfVectorizer_norm_1024,0.9569,0.9551,0.9595,0.9573,0.5714,0.5667,6.96,4.11
SVC,pre_processed,CountVectorizer_1024,0.9565,0.9534,0.9604,0.9569,0.5714,0.5,3.2,1.75
SVC,pre_processed,CountVectorizer_256,0.9551,0.9533,0.9577,0.9555,0.5714,0.5,1.07,0.47
SVC,pre_processed,TfidfVectorizer_idf_1024,0.9551,0.9533,0.9577,0.9555,0.4286,0.5,8.33,4.83
SVC,pre_processed,TfidfVectorizer_norm_256,0.9509,0.9479,0.9549,0.9514,0.5714,0.6667,1.83,0.93
SVC,pre_processed,TfidfVectorizer_idf_256,0.9472,0.9443,0.9512,0.9478,0.4286,0.5333,1.96,1.06
AdaBoost,pre_processed,TfidfVectorizer_norm_max,0.944,0.9472,0.9411,0.9442,0.6429,0.5667,438.69,18.18
AdaBoost,pre_processed,TfidfVectorizer_idf_max,0.9426,0.9446,0.9411,0.9429,0.5714,0.5333,439.32,18.25
AdaBoost,pre_processed,CountVectorizer_max,0.9398,0.937,0.9439,0.9404,0.6429,0.5,432.18,18.24
Bernoulli_NB,pre_processed,CountVectorizer_max,0.9157,0.8688,0.9807,0.9213,0.5714,0.5,11.59,1.63
Bernoulli_NB,pre_processed,TfidfVectorizer_norm_max,0.9157,0.8688,0.9807,0.9213,0.5714,0.5,3.39,1.36
Bernoulli_NB,pre_processed,TfidfVectorizer_idf_max,0.9157,0.8688,0.9807,0.9213,0.5714,0.5,3.46,1.4
CatBoost,pre_processed,TfidfVectorizer_idf_max,0.9579,0.9603,0.9558,0.958,0.5714,0.5333,721.47,34.93
CatBoost,pre_processed,CountVectorizer_max,0.9574,0.9543,0.9614,0.9578,0.5714,0.5,378.75,34.07
CatBoost,pre_processed,TfidfVectorizer_norm_max,0.9574,0.9594,0.9558,0.9576,0.5714,0.5333,716.87,35.22
Decision_Tree_Classifier,pre_processed,CountVectorizer_max,0.9028,0.9102,0.8951,0.9026,0.6429,0.5333,79.58,0.55
Decision_Tree_Classifier,pre_processed,TfidfVectorizer_norm_max,0.8931,0.9007,0.885,0.8928,0.6429,0.5333,60.83,0.51
Decision_Tree_Classifier,pre_processed,TfidfVectorizer_idf_max,0.8898,0.8905,0.8905,0.8905,0.7143,0.6,59.85,0.51
Extra_Tree_Classifier,pre_processed,CountVectorizer_max,0.8139,0.7881,0.862,0.8234,0.6429,0.5,2.71,0.56
Extra_Tree_Classifier,pre_processed,TfidfVectorizer_norm_max,0.8051,0.7901,0.8344,0.8116,0.4286,0.5,2.71,0.51
Extra_Tree_Classifier,pre_processed,TfidfVectorizer_idf_max,0.7796,0.7711,0.7994,0.785,0.8571,0.6,2.68,0.52
Extra_Trees_Classifier,pre_processed,TfidfVectorizer_idf_max,0.9569,0.9486,0.9669,0.9576,0.5,0.5,140.12,0.75
Extra_Trees_Classifier,pre_processed,TfidfVectorizer_norm_max,0.9468,0.9394,0.9558,0.9476,0.5,0.5,138.82,0.74
Extra_Trees_Classifier,pre_processed,CountVectorizer_max,0.9458,0.9225,0.9742,0.9477,0.5,0.5,141.8,0.85
Gaussain_NB,pre_processed,CountVectorizer_max,0.6181,0.9486,0.2548,0.4017,0.5,0.4333,8.6,3.7
Gaussain_NB,pre_processed,TfidfVectorizer_norm_max,0.6181,0.9486,0.2548,0.4017,0.5,0.4333,5.66,3.44
Gaussain_NB,pre_processed,TfidfVectorizer_idf_max,0.6134,0.9468,0.2456,0.3901,0.5,0.4333,6.61,3.24
GradientBoost,pre_processed,TfidfVectorizer_norm_max,0.9546,0.9609,0.9485,0.9546,0.5,0.5333,1823.98,0.65
GradientBoost,pre_processed,TfidfVectorizer_idf_max,0.9542,0.9591,0.9494,0.9542,0.5714,0.5333,1791.6,0.6
GradientBoost,pre_processed,CountVectorizer_max,0.9519,0.9555,0.9485,0.952,0.5714,0.5333,1762.69,0.67
KNN,pre_processed,TfidfVectorizer_idf_max,0.6935,0.8843,0.4499,0.5963,0.7143,0.6333,0.96,13.56
KNN,pre_processed,CountVectorizer_max,0.6731,0.6064,0.9991,0.7547,0.5,0.5,0.0,18.01
KNN,pre_processed,TfidfVectorizer_norm_max,0.6333,0.9377,0.2907,0.4438,0.5714,0.6333,0.94,13.59
LGBM,pre_processed,CountVectorizer_max,0.9579,0.9646,0.9512,0.9579,0.5714,0.5,6.5,0.64
LGBM,pre_processed,TfidfVectorizer_norm_max,0.9565,0.968,0.9448,0.9562,0.5714,0.5333,13.86,0.26
LGBM,pre_processed,TfidfVectorizer_idf_max,0.9519,0.9641,0.9393,0.9515,0.5,0.5667,13.86,0.27
MLP,pre_processed,TfidfVectorizer_norm_max,0.9551,0.9705,0.9393,0.9547,0.6429,0.8,581.04,0.76
MLP,pre_processed,TfidfVectorizer_idf_max,0.9477,0.9656,0.9292,0.947,0.6429,0.8333,527.31,0.77
MLP,pre_processed,CountVectorizer_max,0.9213,0.8856,0.9687,0.9253,0.5714,0.7,302.9,1.15
Multinomial_NB,pre_processed,CountVectorizer_max,0.8162,0.965,0.6587,0.7829,0.6429,0.7333,9.03,0.77
Multinomial_NB,pre_processed,TfidfVectorizer_idf_max,0.5995,0.9912,0.2061,0.3412,0.5,0.5,1.33,0.48
Multinomial_NB,pre_processed,TfidfVectorizer_norm_max,0.5602,1.0,0.126,0.2239,0.5,0.5,1.34,0.45
Random_Forest_Classifier,pre_processed,TfidfVectorizer_norm_max,0.9519,0.9338,0.9733,0.9532,0.5,0.5,36.17,0.67
Random_Forest_Classifier,pre_processed,TfidfVectorizer_idf_max,0.9514,0.9337,0.9724,0.9527,0.5,0.5,35.73,0.66
Random_Forest_Classifier,pre_processed,CountVectorizer_max,0.9463,0.9263,0.9706,0.9479,0.5714,0.5,42.98,0.7
SVC,pre_processed,TfidfVectorizer_norm_max,0.9602,0.9571,0.9641,0.9606,0.5714,0.5333,923.85,742.23
SVC,pre_processed,TfidfVectorizer_idf_max,0.9602,0.9554,0.966,0.9607,0.5714,0.5333,1591.13,1146.91
SVC,pre_processed,CountVectorizer_max,0.9579,0.956,0.9604,0.9582,0.5714,0.5,394.49,258.14
