algorithm,dataset,vectorizer,accuracy,precision,recall,f1,custom_accuracy,train_time,predict_time
GradientBoost,pre_normalized,TfidfVectorizer_normalized,0.85,0.8309,0.8813,0.8554,0.9167,940.29,0.39
GradientBoost,pre_normalized,CountVectorizer,0.8491,0.8294,0.8813,0.8546,0.9167,912.83,0.39
GradientBoost,pre_normalized,TfidfVectorizer_idf,0.8454,0.8254,0.8786,0.8512,0.9167,940.08,0.38
KNN,pre_normalized,TfidfVectorizer_normalized,0.7731,0.8074,0.7213,0.7619,0.8333,0.67,8.2
KNN,pre_normalized,TfidfVectorizer_idf,0.7426,0.7769,0.6854,0.7283,0.8333,0.73,8.31
KNN,pre_processed,TfidfVectorizer_idf,0.6977,0.8767,0.4646,0.6073,0.75,1.14,13.49
KNN,pre_processed,TfidfVectorizer_normalized,0.6648,0.9211,0.3652,0.5231,0.75,1.09,13.89
KNN,pre_processed,CountVectorizer,0.6417,0.5842,0.9991,0.7373,0.5,0.01,22.23
KNN,pre_normalized,CountVectorizer,0.606,0.5667,0.9227,0.7021,0.5,0.2,10.26
LGBM,pre_processed,CountVectorizer,0.9565,0.9645,0.9485,0.9564,0.5,8.2,0.77
LGBM,pre_processed,TfidfVectorizer_normalized,0.9523,0.965,0.9393,0.952,0.5,13.51,0.26
LGBM,pre_processed,TfidfVectorizer_idf,0.9514,0.9658,0.9365,0.951,0.5,13.69,0.26
LGBM,pre_normalized,TfidfVectorizer_idf,0.8926,0.8992,0.8859,0.8925,0.9167,4.65,0.25
LGBM,pre_normalized,CountVectorizer,0.8898,0.8884,0.8933,0.8908,0.9167,3.12,0.58
LGBM,pre_normalized,TfidfVectorizer_normalized,0.8861,0.8883,0.885,0.8866,0.9167,4.67,0.27
Multinomial_NB,pre_normalized,TfidfVectorizer_normalized,0.8634,0.8968,0.8234,0.8585,0.9167,0.85,0.3
Multinomial_NB,pre_normalized,CountVectorizer,0.8593,0.8768,0.8381,0.857,0.9167,5.12,0.44
Multinomial_NB,pre_normalized,TfidfVectorizer_idf,0.8579,0.8988,0.8086,0.8513,0.9167,0.84,0.3
Multinomial_NB,pre_processed,CountVectorizer,0.8181,0.9639,0.6633,0.7858,0.6667,8.96,0.77
Multinomial_NB,pre_processed,TfidfVectorizer_idf,0.6023,0.9914,0.2116,0.3487,0.5,1.36,0.46
Multinomial_NB,pre_processed,TfidfVectorizer_normalized,0.563,1.0,0.1316,0.2325,0.5,1.33,0.63
Random_Forest_Classifier,pre_processed,TfidfVectorizer_normalized,0.9532,0.9371,0.9724,0.9544,0.5,38.16,0.7
Random_Forest_Classifier,pre_processed,TfidfVectorizer_idf,0.9528,0.937,0.9715,0.9539,0.5,36.6,0.68
Random_Forest_Classifier,pre_processed,CountVectorizer,0.9491,0.9266,0.9761,0.9507,0.5,43.89,0.72
Random_Forest_Classifier,pre_normalized,CountVectorizer,0.8792,0.8727,0.8896,0.8811,1.0,42.76,0.54
Random_Forest_Classifier,pre_normalized,TfidfVectorizer_idf,0.8722,0.8758,0.8694,0.8726,0.9167,44.01,0.52
Random_Forest_Classifier,pre_normalized,TfidfVectorizer_normalized,0.869,0.8702,0.8694,0.8698,0.9167,44.07,0.54
SVC,pre_processed,TfidfVectorizer_normalized,0.962,0.9564,0.9687,0.9625,0.5833,979.0,760.0
SVC,pre_processed,TfidfVectorizer_idf,0.9588,0.952,0.9669,0.9594,0.5833,1615.46,1151.44
